date,aapl,msft,amzn
12/12/1980,0.408971,,
12/15/1980,0.387633,,
12/16/1980,0.359183,,
12/17/1980,0.368074,,
12/18/1980,0.378743,,
12/19/1980,0.401859,,
12/22/1980,0.421418,,
12/23/1980,0.439199,,
12/24/1980,0.462315,,
12/26/1980,0.504991,,
12/29/1980,0.512103,,
12/30/1980,0.499656,,
12/31/1980,0.485431,,
1/2/1981,0.490765,,
1/5/1981,0.480097,,
1/6/1981,0.458759,,
1/7/1981,0.439199,,
1/8/1981,0.430309,,
1/9/1981,0.453425,,
1/12/1981,0.449868,,
1/13/1981,0.433865,,
1/14/1981,0.435643,,
1/15/1981,0.444534,,
1/16/1981,0.440977,,
1/19/1981,0.46765,,
1/20/1981,0.453425,,
1/21/1981,0.462315,,
1/22/1981,0.46765,,
1/23/1981,0.465871,,
1/26/1981,0.458759,,
1/27/1981,0.455203,,
1/28/1981,0.440977,,
1/29/1981,0.424975,,
1/30/1981,0.401859,,
2/2/1981,0.378743,,
2/3/1981,0.392968,,
2/4/1981,0.407193,,
2/5/1981,0.407193,,
2/6/1981,0.408971,,
2/9/1981,0.387633,,
2/10/1981,0.387633,,
2/11/1981,0.375187,,
2/12/1981,0.37163,,
2/13/1981,0.36274,,
2/17/1981,0.37163,,
2/18/1981,0.387633,,
2/19/1981,0.364518,,
2/20/1981,0.344958,,
2/23/1981,0.350293,,
2/24/1981,0.337846,,
2/25/1981,0.359183,,
2/26/1981,0.364518,,
2/27/1981,0.376965,,
3/2/1981,0.378743,,
3/3/1981,0.373408,,
3/4/1981,0.369852,,
3/5/1981,0.368074,,
3/6/1981,0.364518,,
3/9/1981,0.336068,,
3/10/1981,0.320064,,
3/11/1981,0.307617,,
3/12/1981,0.320064,,
3/13/1981,0.316508,,
3/16/1981,0.328955,,
3/17/1981,0.344958,,
3/18/1981,0.366296,,
3/19/1981,0.36274,,
3/20/1981,0.366296,,
3/23/1981,0.380521,,
3/24/1981,0.378743,,
3/25/1981,0.37163,,
3/26/1981,0.364518,,
3/27/1981,0.352071,,
3/30/1981,0.352071,,
3/31/1981,0.348515,,
4/1/1981,0.344958,,
4/2/1981,0.375187,,
4/3/1981,0.376965,,
4/6/1981,0.369852,,
4/7/1981,0.366296,,
4/8/1981,0.384077,,
4/9/1981,0.39119,,
4/10/1981,0.396524,,
4/13/1981,0.396524,,
4/14/1981,0.396524,,
4/15/1981,0.376965,,
4/16/1981,0.355627,,
4/20/1981,0.366296,,
4/21/1981,0.39119,,
4/22/1981,0.405415,,
4/23/1981,0.416084,,
4/24/1981,0.412528,,
4/27/1981,0.408971,,
4/28/1981,0.401859,,
4/29/1981,0.396524,,
4/30/1981,0.403637,,
5/1/1981,0.403637,,
5/4/1981,0.401859,,
5/5/1981,0.40008,,
5/6/1981,0.389412,,
5/7/1981,0.394746,,
5/8/1981,0.398302,,
5/11/1981,0.389412,,
5/12/1981,0.389412,,
5/13/1981,0.387633,,
5/14/1981,0.382299,,
5/15/1981,0.39119,,
5/18/1981,0.398302,,
5/19/1981,0.39119,,
5/20/1981,0.403637,,
5/21/1981,0.426752,,
5/22/1981,0.446312,,
5/26/1981,0.444534,,
5/27/1981,0.469428,,
5/28/1981,0.469428,,
5/29/1981,0.471206,,
6/1/1981,0.471206,,
6/2/1981,0.44809,,
6/3/1981,0.44809,,
6/4/1981,0.456981,,
6/5/1981,0.449868,,
6/8/1981,0.433865,,
6/9/1981,0.442756,,
6/10/1981,0.44809,,
6/11/1981,0.46765,,
6/12/1981,0.462315,,
6/15/1981,0.460537,,
6/16/1981,0.451646,,
6/17/1981,0.444534,,
6/18/1981,0.442756,,
6/19/1981,0.430309,,
6/22/1981,0.414306,,
6/23/1981,0.421418,,
6/24/1981,0.410749,,
6/25/1981,0.41964,,
6/26/1981,0.414306,,
6/29/1981,0.40008,,
6/30/1981,0.369852,,
7/1/1981,0.366296,,
7/2/1981,0.366296,,
7/6/1981,0.353849,,
7/7/1981,0.357405,,
7/8/1981,0.37163,,
7/9/1981,0.34318,,
7/10/1981,0.316508,,
7/13/1981,0.323621,,
7/14/1981,0.337846,,
7/15/1981,0.346736,,
7/16/1981,0.355627,,
7/17/1981,0.368074,,
7/20/1981,0.34318,,
7/21/1981,0.341402,,
7/22/1981,0.321843,,
7/23/1981,0.330733,,
7/24/1981,0.341402,,
7/27/1981,0.355627,,
7/28/1981,0.34318,,
7/29/1981,0.337846,,
7/30/1981,0.350293,,
7/31/1981,0.355627,,
8/3/1981,0.352071,,
8/4/1981,0.357405,,
8/5/1981,0.368074,,
8/6/1981,0.359183,,
8/7/1981,0.359183,,
8/11/1981,0.348515,,
8/12/1981,0.341402,,
8/13/1981,0.330733,,
8/14/1981,0.325399,,
8/17/1981,0.31473,,
8/18/1981,0.307617,,
8/19/1981,0.304061,,
8/20/1981,0.307617,,
8/21/1981,0.28628,,
8/24/1981,0.268498,,
8/25/1981,0.275611,,
8/26/1981,0.270277,,
8/27/1981,0.272055,,
8/28/1981,0.28628,,
8/31/1981,0.28628,,
9/1/1981,0.304061,,
9/2/1981,0.309396,,
9/3/1981,0.293392,,
9/4/1981,0.289836,,
9/8/1981,0.280945,,
9/9/1981,0.280945,,
9/10/1981,0.282723,,
9/11/1981,0.279167,,
9/14/1981,0.270277,,
9/15/1981,0.263164,,
9/16/1981,0.25783,,
9/17/1981,0.250717,,
9/18/1981,0.252495,,
9/21/1981,0.254273,,
9/22/1981,0.240048,,
9/23/1981,0.234714,,
9/24/1981,0.232936,,
9/25/1981,0.202707,,
9/28/1981,0.204486,,
9/29/1981,0.215154,,
9/30/1981,0.216933,,
10/1/1981,0.216933,,
10/2/1981,0.234714,,
10/5/1981,0.241826,,
10/6/1981,0.240048,,
10/7/1981,0.254273,,
10/8/1981,0.263164,,
10/9/1981,0.264942,,
10/12/1981,0.273833,,
10/13/1981,0.273833,,
10/14/1981,0.25783,,
10/15/1981,0.263164,,
10/16/1981,0.259608,,
10/19/1981,0.264942,,
10/20/1981,0.279167,,
10/21/1981,0.279167,,
10/22/1981,0.277389,,
10/23/1981,0.270277,,
10/26/1981,0.270277,,
10/27/1981,0.275611,,
10/28/1981,0.284502,,
10/29/1981,0.280945,,
10/30/1981,0.284502,,
11/2/1981,0.284502,,
11/3/1981,0.280945,,
11/4/1981,0.273833,,
11/5/1981,0.254273,,
11/6/1981,0.256052,,
11/9/1981,0.259608,,
11/10/1981,0.261386,,
11/11/1981,0.268498,,
11/12/1981,0.277389,,
11/13/1981,0.25783,,
11/16/1981,0.254273,,
11/17/1981,0.259608,,
11/18/1981,0.268498,,
11/19/1981,0.268498,,
11/20/1981,0.270277,,
11/23/1981,0.25783,,
11/24/1981,0.256052,,
11/25/1981,0.261386,,
11/27/1981,0.268498,,
11/30/1981,0.264942,,
12/1/1981,0.264942,,
12/2/1981,0.26672,,
12/3/1981,0.263164,,
12/4/1981,0.270277,,
12/7/1981,0.272055,,
12/8/1981,0.26672,,
12/9/1981,0.268498,,
12/10/1981,0.268498,,
12/11/1981,0.26672,,
12/14/1981,0.25783,,
12/15/1981,0.264942,,
12/16/1981,0.277389,,
12/17/1981,0.300505,,
12/18/1981,0.325399,,
12/21/1981,0.311174,,
12/22/1981,0.316508,,
12/23/1981,0.309396,,
12/24/1981,0.311174,,
12/28/1981,0.296949,,
12/29/1981,0.302283,,
12/30/1981,0.31473,,
12/31/1981,0.31473,,
1/4/1982,0.312952,,
1/5/1982,0.296949,,
1/6/1982,0.293392,,
