year,month,3_month,6_month,12_month,24_month,36_month,60_month,84_month,120_month,240_month,360_month
1953,4,0.0219,0.0226,0.0236,0.0241,0.0251,0.0262,0.0273,0.0283,0.0308,0.0309
1953,5,0.0216,0.0228,0.0248,0.0258,0.0272,0.0287,0.0301,0.0305,0.0318,0.0319
1953,6,0.0211,0.0224,0.0245,0.026,0.0274,0.0294,0.0306,0.0311,0.0321,0.0322
1953,7,0.0204,0.0218,0.0238,0.0246,0.0262,0.0275,0.029,0.0293,0.0312,0.0313
1953,8,0.0204,0.0213,0.0228,0.0244,0.0258,0.028,0.029,0.0295,0.031,0.0311
1953,9,0.0179,0.0195,0.022,0.0236,0.0256,0.0271,0.0287,0.0287,0.0307,0.0308
1953,10,0.0138,0.0154,0.0179,0.0197,0.0223,0.0243,0.0263,0.0266,0.0295,0.0296
1953,11,0.0144,0.0153,0.0167,0.0194,0.022,0.0242,0.0261,0.0268,0.0295,0.0296
1953,12,0.016,0.0162,0.0166,0.019,0.0207,0.0232,0.0246,0.0259,0.0289,0.029
1954,1,0.0118,0.0127,0.0141,0.0165,0.0189,0.0217,0.0236,0.0248,0.028,0.0281
1954,2,0.0097,0.0102,0.0114,0.0141,0.0163,0.0204,0.0227,0.0247,0.0272,0.0273
1954,3,0.0103,0.0106,0.0113,0.0137,0.0159,0.0193,0.0216,0.0237,0.0261,0.0262
1954,4,0.0097,0.0096,0.0096,0.0128,0.0154,0.0187,0.0211,0.0229,0.026,0.0261
1954,5,0.0076,0.0079,0.0085,0.0125,0.0156,0.0192,0.0217,0.0237,0.0266,0.0267
1954,6,0.0064,0.007,0.0082,0.0122,0.0153,0.0192,0.0218,0.0238,0.0264,0.0265
1954,7,0.0072,0.0076,0.0084,0.0119,0.0147,0.0185,0.021,0.023,0.0257,0.0258
1954,8,0.0092,0.0089,0.0088,0.0116,0.0149,0.019,0.0221,0.0236,0.0258,0.0259
1954,9,0.0101,0.0101,0.0103,0.0131,0.016,0.0196,0.0223,0.0238,0.026,0.0261
1954,10,0.0098,0.0105,0.0117,0.0147,0.0172,0.0202,0.0225,0.0243,0.0261,0.0262
1954,11,0.0093,0.01,0.0114,0.0148,0.0175,0.0209,0.0231,0.0248,0.0265,0.0266
1954,12,0.0115,0.0116,0.0121,0.015,0.0181,0.0216,0.0241,0.0251,0.0267,0.0268
1955,1,0.0122,0.0128,0.0139,0.0171,0.0199,0.0232,0.0252,0.0261,0.0275,0.0276
1955,2,0.0117,0.0132,0.0157,0.0185,0.0212,0.0238,0.0258,0.0265,0.0283,0.0284
1955,3,0.0128,0.014,0.0159,0.0196,0.0226,0.0248,0.0265,0.0268,0.0284,0.0285
1955,4,0.0159,0.0164,0.0175,0.0207,0.0237,0.0255,0.0273,0.0275,0.0285,0.0286
1955,5,0.0145,0.0162,0.019,0.0215,0.0237,0.0256,0.0272,0.0276,0.0287,0.0288
1955,6,0.0141,0.016,0.0191,0.0218,0.0239,0.0259,0.0274,0.0278,0.0286,0.0287
1955,7,0.016,0.0176,0.0202,0.023,0.0251,0.0272,0.0285,0.029,0.0294,0.0295
1955,8,0.019,0.0207,0.0237,0.0259,0.0272,0.0286,0.0295,0.0297,0.0301,0.0302
1955,9,0.0207,0.0218,0.0236,0.0255,0.0269,0.0285,0.0293,0.0297,0.03,0.0301
1955,10,0.0223,0.0229,0.0239,0.0252,0.0262,0.0276,0.0283,0.0288,0.0293,0.0294
1955,11,0.0224,0.0233,0.0248,0.0262,0.0273,0.0281,0.0288,0.0289,0.0293,0.0294
1955,12,0.0254,0.0261,0.0273,0.0283,0.0288,0.0293,0.0296,0.0296,0.0298,0.0299
1956,1,0.0241,0.0247,0.0258,0.0269,0.0278,0.0284,0.0289,0.029,0.0294,0.0295
1956,2,0.0232,0.0239,0.0249,0.0257,0.0267,0.0274,0.0282,0.0284,0.0291,0.0292
1956,3,0.0225,0.024,0.0261,0.0281,0.0289,0.0293,0.0296,0.0296,0.0299,0.03
1956,4,0.026,0.0273,0.0292,0.0312,0.0319,0.032,0.0318,0.0318,0.0314,0.0315
1956,5,0.0261,0.0276,0.0294,0.0306,0.0308,0.0308,0.0307,0.0307,0.0306,0.0307
1956,6,0.0249,0.0259,0.0274,0.0289,0.0295,0.0297,0.0299,0.03,0.03,0.0301
1956,7,0.0231,0.025,0.0276,0.0299,0.0306,0.0312,0.031,0.0311,0.0308,0.0309
1956,8,0.026,0.028,0.031,0.0334,0.0339,0.0341,0.0334,0.0333,0.0322,0.0323
1956,9,0.0284,0.0306,0.0335,0.0353,0.035,0.0347,0.0337,0.0338,0.0328,0.0329
1956,10,0.029,0.0306,0.0328,0.0342,0.034,0.034,0.0333,0.0334,0.0326,0.0327
1956,11,0.0299,0.0318,0.0344,0.036,0.0357,0.0356,0.0347,0.0349,0.0337,0.0339
1956,12,0.0321,0.0341,0.0368,0.0382,0.0376,0.037,0.0358,0.0359,0.0345,0.0347
1957,1,0.0311,0.0323,0.0337,0.0346,0.0346,0.0347,0.0344,0.0346,0.0341,0.0343
1957,2,0.031,0.0323,0.0338,0.0346,0.0342,0.0339,0.0334,0.0334,0.033,0.0331
1957,3,0.0308,0.0323,0.0342,0.0351,0.0347,0.0346,0.0339,0.0341,0.0332,0.0333
1957,4,0.0307,0.0327,0.0349,0.0359,0.0353,0.0353,0.0346,0.0348,0.034,0.0342
1957,5,0.0306,0.0324,0.0348,0.0363,0.0361,0.0364,0.0357,0.036,0.0349,0.0351
1957,6,0.0329,0.0343,0.0365,0.0379,0.038,0.0383,0.0377,0.038,0.0365,0.0367
1957,7,0.0316,0.0344,0.0381,0.0402,0.0396,0.04,0.0387,0.0393,0.0372,0.0374
1957,8,0.0337,0.0367,0.0401,0.0413,0.0402,0.04,0.0388,0.0393,0.0375,0.0377
1957,9,0.0353,0.0377,0.0407,0.0418,0.0406,0.0403,0.0388,0.0392,0.0373,0.0375
1957,10,0.0358,0.0375,0.0401,0.0412,0.0409,0.0408,0.0397,0.0397,0.0376,0.0378
1957,11,0.0331,0.0341,0.0357,0.0368,0.037,0.0372,0.0369,0.0372,0.0361,0.0363
1957,12,0.0304,0.031,0.0318,0.031,0.0311,0.0308,0.0315,0.0321,0.0338,0.034
1958,1,0.0244,0.0253,0.0265,0.0268,0.0278,0.0288,0.03,0.0309,0.0327,0.0328
1958,2,0.0153,0.0171,0.0199,0.0227,0.0258,0.0278,0.0302,0.0305,0.0331,0.0332
1958,3,0.013,0.0151,0.0184,0.0208,0.024,0.0264,0.0291,0.0298,0.0329,0.033
1958,4,0.0113,0.0125,0.0145,0.0181,0.0215,0.0246,0.0273,0.0288,0.0317,0.0318
1958,5,0.0091,0.0109,0.0137,0.0171,0.0207,0.0241,0.0273,0.0292,0.0317,0.0318
1958,6,0.0083,0.0098,0.0123,0.0168,0.0208,0.0246,0.0278,0.0297,0.0323,0.0324
1958,7,0.0091,0.0117,0.0161,0.0202,0.0242,0.0277,0.0308,0.032,0.0339,0.0341
1958,8,0.0169,0.0199,0.025,0.0282,0.0306,0.0329,0.035,0.0354,0.0365,0.0367
1958,9,0.0244,0.0267,0.0305,0.0338,0.0352,0.0369,0.0375,0.0376,0.038,0.0382
1958,10,0.0263,0.0286,0.0319,0.0353,0.0367,0.0378,0.038,0.038,0.0381,0.0383
1958,11,0.0267,0.0284,0.031,0.0343,0.036,0.037,0.0374,0.0374,0.0376,0.0378
1958,12,0.0277,0.0301,0.0329,0.0355,0.0372,0.0382,0.0385,0.0386,0.0386,0.0388
1959,1,0.0282,0.0309,0.0336,0.0369,0.0391,0.0401,0.0402,0.0402,0.0395,0.0397
1959,2,0.027,0.0313,0.0354,0.0377,0.0392,0.0396,0.0396,0.0396,0.0396,0.0398
1959,3,0.028,0.0313,0.0361,0.0383,0.0397,0.0399,0.0399,0.0399,0.0399,0.0401
1959,4,0.0295,0.0327,0.0372,0.0391,0.0403,0.0412,0.0412,0.0412,0.0406,0.0408
1959,5,0.0284,0.0333,0.0396,0.0413,0.0425,0.0435,0.0432,0.0431,0.0413,0.0415
